time,open,close,high,low,volume
2021-09-30 06:00:00+00:00,"Quotation(units=329, nano=980000000)","Quotation(units=329, nano=980000000)","Quotation(units=329, nano=980000000)","Quotation(units=329, nano=980000000)",7233
2021-09-30 07:00:00+00:00,"Quotation(units=329, nano=980000000)","Quotation(units=331, nano=980000000)","Quotation(units=332, nano=710000000)","Quotation(units=329, nano=450000000)",919585
2021-09-30 08:00:00+00:00,"Quotation(units=331, nano=950000000)","Quotation(units=332, nano=420000000)","Quotation(units=333, nano=900000000)","Quotation(units=331, nano=950000000)",638603
2021-09-30 09:00:00+00:00,"Quotation(units=332, nano=420000000)","Quotation(units=332, nano=460000000)","Quotation(units=332, nano=840000000)","Quotation(units=331, nano=940000000)",271688
2021-09-30 10:00:00+00:00,"Quotation(units=332, nano=470000000)","Quotation(units=332, nano=870000000)","Quotation(units=333, nano=160000000)","Quotation(units=331, nano=900000000)",322885
2021-09-30 11:00:00+00:00,"Quotation(units=332, nano=870000000)","Quotation(units=332, nano=840000000)","Quotation(units=333, nano=270000000)","Quotation(units=332, nano=310000000)",244774
2021-09-30 12:00:00+00:00,"Quotation(units=332, nano=840000000)","Quotation(units=333, nano=850000000)","Quotation(units=334, nano=260000000)","Quotation(units=332, nano=830000000)",640242
2021-09-30 13:00:00+00:00,"Quotation(units=333, nano=870000000)","Quotation(units=334, nano=700000000)","Quotation(units=335, nano=200000000)","Quotation(units=332, nano=850000000)",939396
2021-09-30 14:00:00+00:00,"Quotation(units=334, nano=700000000)","Quotation(units=340, nano=300000000)","Quotation(units=340, nano=690000000)","Quotation(units=334, nano=500000000)",2009923
2021-09-30 15:00:00+00:00,"Quotation(units=340, nano=300000000)","Quotation(units=340, nano=800000000)","Quotation(units=342, nano=200000000)","Quotation(units=340, nano=110000000)",1549207
2021-09-30 16:00:00+00:00,"Quotation(units=340, nano=420000000)","Quotation(units=340, nano=340000000)","Quotation(units=340, nano=800000000)","Quotation(units=338, nano=510000000)",396111
2021-09-30 17:00:00+00:00,"Quotation(units=340, nano=340000000)","Quotation(units=339, nano=900000000)","Quotation(units=340, nano=690000000)","Quotation(units=339, nano=170000000)",111554
2021-09-30 18:00:00+00:00,"Quotation(units=339, nano=900000000)","Quotation(units=340, nano=400000000)","Quotation(units=340, nano=560000000)","Quotation(units=339, nano=130000000)",122742
2021-09-30 19:00:00+00:00,"Quotation(units=340, nano=460000000)","Quotation(units=340, nano=190000000)","Quotation(units=341, nano=0)","Quotation(units=340, nano=80000000)",109534
2021-09-30 20:00:00+00:00,"Quotation(units=340, nano=260000000)","Quotation(units=340, nano=990000000)","Quotation(units=340, nano=990000000)","Quotation(units=340, nano=100000000)",78729
2021-10-01 06:00:00+00:00,"Quotation(units=339, nano=210000000)","Quotation(units=339, nano=210000000)","Quotation(units=339, nano=210000000)","Quotation(units=339, nano=210000000)",7331
2021-10-01 07:00:00+00:00,"Quotation(units=339, nano=210000000)","Quotation(units=336, nano=530000000)","Quotation(units=339, nano=940000000)","Quotation(units=336, nano=520000000)",1072829
2021-10-01 08:00:00+00:00,"Quotation(units=336, nano=530000000)","Quotation(units=337, nano=920000000)","Quotation(units=338, nano=470000000)","Quotation(units=336, nano=100000000)",527926
2021-10-01 09:00:00+00:00,"Quotation(units=337, nano=850000000)","Quotation(units=336, nano=600000000)","Quotation(units=337, nano=980000000)","Quotation(units=336, nano=80000000)",348290
2021-10-01 10:00:00+00:00,"Quotation(units=336, nano=600000000)","Quotation(units=336, nano=790000000)","Quotation(units=336, nano=890000000)","Quotation(units=336, nano=270000000)",178349
2021-10-01 11:00:00+00:00,"Quotation(units=336, nano=780000000)","Quotation(units=337, nano=380000000)","Quotation(units=337, nano=600000000)","Quotation(units=336, nano=430000000)",245297
2021-10-01 12:00:00+00:00,"Quotation(units=337, nano=380000000)","Quotation(units=337, nano=540000000)","Quotation(units=338, nano=260000000)","Quotation(units=337, nano=50000000)",218251
2021-10-01 13:00:00+00:00,"Quotation(units=337, nano=540000000)","Quotation(units=337, nano=180000000)","Quotation(units=338, nano=550000000)","Quotation(units=336, nano=520000000)",336801
2021-10-01 14:00:00+00:00,"Quotation(units=337, nano=230000000)","Quotation(units=336, nano=750000000)","Quotation(units=337, nano=610000000)","Quotation(units=336, nano=160000000)",316923
2021-10-01 15:00:00+00:00,"Quotation(units=336, nano=830000000)","Quotation(units=336, nano=860000000)","Quotation(units=337, nano=300000000)","Quotation(units=336, nano=300000000)",291786
2021-10-01 16:00:00+00:00,"Quotation(units=337, nano=440000000)","Quotation(units=337, nano=470000000)","Quotation(units=337, nano=740000000)","Quotation(units=336, nano=910000000)",41845
2021-10-01 17:00:00+00:00,"Quotation(units=337, nano=420000000)","Quotation(units=337, nano=800000000)","Quotation(units=337, nano=810000000)","Quotation(units=337, nano=330000000)",30350
