time,volume,open,close
2019-11-15 12:00:00+00:00,47,"Quotation(units=60, nano=0)","Quotation(units=60, nano=0)"
2019-11-18 08:00:00+00:00,1,"Quotation(units=59, nano=800000000)","Quotation(units=59, nano=800000000)"
2019-11-18 12:00:00+00:00,8,"Quotation(units=59, nano=200000000)","Quotation(units=59, nano=200000000)"
2019-11-19 12:00:00+00:00,11,"Quotation(units=59, nano=0)","Quotation(units=59, nano=200000000)"
2019-11-20 12:00:00+00:00,12,"Quotation(units=59, nano=400000000)","Quotation(units=59, nano=400000000)"
2019-11-21 08:00:00+00:00,27,"Quotation(units=59, nano=200000000)","Quotation(units=59, nano=600000000)"
2019-11-21 12:00:00+00:00,11,"Quotation(units=59, nano=600000000)","Quotation(units=59, nano=800000000)"
2019-11-22 08:00:00+00:00,5,"Quotation(units=59, nano=400000000)","Quotation(units=59, nano=0)"
2019-11-22 12:00:00+00:00,15,"Quotation(units=59, nano=400000000)","Quotation(units=59, nano=800000000)"
2019-11-25 04:00:00+00:00,1,"Quotation(units=61, nano=0)","Quotation(units=61, nano=0)"
2019-11-25 08:00:00+00:00,36,"Quotation(units=59, nano=800000000)","Quotation(units=59, nano=800000000)"
2019-11-25 12:00:00+00:00,486,"Quotation(units=58, nano=800000000)","Quotation(units=58, nano=600000000)"
2019-11-26 04:00:00+00:00,13,"Quotation(units=58, nano=200000000)","Quotation(units=57, nano=600000000)"
2019-11-26 08:00:00+00:00,4,"Quotation(units=59, nano=0)","Quotation(units=59, nano=0)"
2019-11-26 12:00:00+00:00,1,"Quotation(units=59, nano=0)","Quotation(units=59, nano=0)"
2019-11-27 08:00:00+00:00,44,"Quotation(units=58, nano=200000000)","Quotation(units=59, nano=400000000)"
2019-11-27 12:00:00+00:00,4,"Quotation(units=59, nano=200000000)","Quotation(units=59, nano=600000000)"
2019-11-28 12:00:00+00:00,1,"Quotation(units=59, nano=400000000)","Quotation(units=59, nano=400000000)"
2019-11-29 08:00:00+00:00,1,"Quotation(units=58, nano=600000000)","Quotation(units=58, nano=600000000)"
2019-11-29 12:00:00+00:00,7,"Quotation(units=59, nano=0)","Quotation(units=59, nano=600000000)"
2019-12-02 08:00:00+00:00,86,"Quotation(units=59, nano=600000000)","Quotation(units=59, nano=0)"
2019-12-02 12:00:00+00:00,3,"Quotation(units=59, nano=400000000)","Quotation(units=59, nano=0)"
2019-12-03 04:00:00+00:00,20,"Quotation(units=59, nano=600000000)","Quotation(units=60, nano=0)"
2019-12-03 08:00:00+00:00,14,"Quotation(units=59, nano=800000000)","Quotation(units=59, nano=800000000)"
2019-12-03 12:00:00+00:00,123,"Quotation(units=60, nano=0)","Quotation(units=60, nano=600000000)"
2019-12-04 08:00:00+00:00,55,"Quotation(units=60, nano=0)","Quotation(units=60, nano=0)"
2019-12-04 12:00:00+00:00,26,"Quotation(units=59, nano=200000000)","Quotation(units=60, nano=0)"
2019-12-05 04:00:00+00:00,87,"Quotation(units=59, nano=0)","Quotation(units=59, nano=0)"
