time,volume,open,close
2021-10-04 07:00:00,52,78,78.6
2021-10-04 08:00:00,406,78.8,80.8
2021-10-04 09:00:00,115,80.8,79.4
2021-10-04 10:00:00,6,80,80.2
2021-10-04 11:00:00,19,80,79.4
2021-10-04 12:00:00,687,81.6,79.8
2021-10-04 13:00:00,4,80,80
2021-10-04 14:00:00,21,80.8,80
2021-10-04 15:00:00,22,79.8,80
2021-10-05 07:00:00,300,80,82.8
2021-10-05 08:00:00,236,82.8,83.6
2021-10-05 09:00:00,198,85.6,83.4
2021-10-05 10:00:00,115,83.4,83.8
2021-10-05 11:00:00,122,83.6,83.4
2021-10-05 12:00:00,17,83.6,83.4
2021-10-05 13:00:00,56,83,83
2021-10-05 14:00:00,84,83.2,82.8
2021-10-05 15:00:00,20,82.8,82.6
2021-10-06 07:00:00,45,79.8,82.8
2021-10-06 08:00:00,20,83,83.6
2021-10-06 09:00:00,75,82.2,82.6
2021-10-06 10:00:00,3,82.6,82.6
2021-10-06 11:00:00,6,82.6,82.2
2021-10-06 12:00:00,13,81,80.2
2021-10-06 13:00:00,2,80.6,81.8
2021-10-06 14:00:00,12,81.6,82
2021-10-06 15:00:00,1,82,82
2021-10-07 07:00:00,1,81.2,81.2
2021-10-07 08:00:00,10,82.4,81.2
2021-10-07 09:00:00,5,82.4,81.6
2021-10-07 10:00:00,17,81,81.4
2021-10-07 11:00:00,4,81.4,81.4
2021-10-07 12:00:00,150,81.4,81.4
2021-10-07 13:00:00,1,82,82
2021-10-07 14:00:00,6,81,82
2021-10-08 07:00:00,3,81.2,81.6
2021-10-08 08:00:00,2,81.6,81.6
2021-10-08 09:00:00,26,81.8,81.4
2021-10-08 10:00:00,2,82.8,82.8
2021-10-08 11:00:00,16,82.8,82.8
2021-10-08 12:00:00,30,82.6,83
2021-10-08 13:00:00,6,82.2,82.2
2021-10-08 14:00:00,3,82,82
2021-10-08 15:00:00,3,82.8,82.8
2021-10-11 07:00:00,5,83.6,82
2021-10-11 08:00:00,9,81.6,81.4
2021-10-11 09:00:00,14,82.4,82.8
2021-10-11 10:00:00,57,82.8,82.2
2021-10-11 11:00:00,3,82.8,82
2021-10-11 13:00:00,4,82.4,81.8
2021-10-11 14:00:00,2,82.8,82
2021-10-12 07:00:00,45,79.8,81.8
2021-10-12 08:00:00,3,81.6,81.6
2021-10-12 09:00:00,4,81.6,81.6
2021-10-12 10:00:00,5,81.4,81.6
2021-10-12 11:00:00,1,81.6,81.6
2021-10-12 12:00:00,2,81.4,81.4
2021-10-12 15:00:00,6,81.4,81.4
2021-10-13 07:00:00,50,80,80.8
2021-10-13 08:00:00,13,81,80.8
2021-10-13 09:00:00,1,81.4,81.4
2021-10-13 10:00:00,29,81,82
2021-10-13 11:00:00,37,82.2,80.8
2021-10-13 12:00:00,68,80.2,80.6
2021-10-13 13:00:00,7,80.6,80.4
2021-10-13 14:00:00,9,80.2,80
2021-10-13 15:00:00,43,80,79.6
2021-10-14 07:00:00,6,81.2,80.4
2021-10-14 08:00:00,159,80.4,81
2021-10-14 09:00:00,19,81,81.4
2021-10-14 10:00:00,2,81.4,81.4
2021-10-14 11:00:00,724,81.2,79.6
2021-10-14 13:00:00,36,80,80.2
2021-10-14 14:00:00,600,82.6,80.4
2021-10-14 15:00:00,62,80.4,81.6
2021-10-15 07:00:00,446,80,82
2021-10-15 08:00:00,345,81.6,81
2021-10-15 09:00:00,18,80.6,80.2
2021-10-15 10:00:00,137,80.2,81.6
2021-10-15 11:00:00,21,80.6,80.6
2021-10-15 13:00:00,11,80.6,81
2021-10-15 14:00:00,8,80.6,80.6
2021-10-15 15:00:00,2,80.6,80.6
2021-10-18 06:00:00,1,81.4,81.4
2021-10-18 07:00:00,5,81,81
2021-10-18 08:00:00,5,81.2,81.4
2021-10-18 09:00:00,20,81.4,81.4
2021-10-18 11:00:00,69,81.2,80
2021-10-18 12:00:00,26,80,81
2021-10-18 14:00:00,2,80.8,80.2
2021-10-19 07:00:00,14,80.2,80.6
2021-10-19 09:00:00,1,80.8,80.8
2021-10-19 10:00:00,2,80.8,80.8
2021-10-19 11:00:00,2,80.8,80.6
2021-10-19 12:00:00,2,80.8,80.8
2021-10-19 13:00:00,1,80.6,80.6
2021-10-19 14:00:00,101,80.4,80.4
2021-10-19 15:00:00,128,80.2,79.8
2021-10-20 07:00:00,30,79.8,80
2021-10-20 08:00:00,12,80.2,80.4
2021-10-20 09:00:00,80,80.2,81
2021-10-20 10:00:00,3,81,80.8
2021-10-20 11:00:00,4,80.8,81
2021-10-20 12:00:00,151,81,81
2021-10-20 13:00:00,129,80.4,80
2021-10-20 14:00:00,1,80.4,80.4
2021-10-20 15:00:00,20,80.4,80.4
2021-10-21 07:00:00,11,80.4,80.6
2021-10-21 08:00:00,2,80.6,80.6
2021-10-21 09:00:00,2,80.6,80.6
2021-10-21 10:00:00,45,80.2,80.2
2021-10-21 11:00:00,4,79.4,79.4
2021-10-21 12:00:00,2,79.2,79.2
2021-10-21 13:00:00,1,80,80
2021-10-21 14:00:00,93,80,79.2
2021-10-21 15:00:00,11,80.2,80.2
2021-10-22 07:00:00,18,80,79.6
2021-10-22 08:00:00,3,79.8,79.4
2021-10-22 09:00:00,86,80.4,80.6
2021-10-22 10:00:00,17,80.6,80.4
2021-10-22 11:00:00,4,80.6,80.6
2021-10-22 12:00:00,6,80.2,80
2021-10-22 13:00:00,3,80.2,80.4
2021-10-22 15:00:00,8,80.6,80.4
2021-10-25 07:00:00,8,79.2,80.2
2021-10-25 08:00:00,3,80.2,80.6
2021-10-25 09:00:00,1,80.4,80.4
2021-10-25 10:00:00,3,80.4,80
2021-10-25 11:00:00,6,80.4,80.4
2021-10-25 12:00:00,12,80.6,80.8
2021-10-25 14:00:00,5,80.4,80.8
2021-10-25 15:00:00,30,80.4,79.6
2021-10-26 07:00:00,1,80.2,80.2
2021-10-26 08:00:00,1,80.4,80.4
2021-10-26 09:00:00,2,80.4,80
2021-10-26 10:00:00,4,80.6,80
2021-10-26 11:00:00,9,80.6,80
2021-10-26 12:00:00,1,80.2,80.2
2021-10-26 15:00:00,1,80.2,80.2
2021-10-27 07:00:00,2,80.2,79.8
2021-10-27 08:00:00,8,79.8,79.4
2021-10-27 09:00:00,7,79.6,79.8
2021-10-27 10:00:00,2,79.8,79.8
2021-10-27 11:00:00,5,79.8,79.8
2021-10-27 15:00:00,1,79.8,79.8
2021-10-28 07:00:00,5,79.2,80
2021-10-28 08:00:00,3,79.2,79.2
2021-10-28 09:00:00,10,79.2,79
2021-10-28 10:00:00,2,79.6,79.8
2021-10-28 11:00:00,1,79.8,79.8
2021-10-28 14:00:00,1,79.2,79.2
2021-10-28 15:00:00,1,79.2,79.2
2021-10-29 07:00:00,2,80.2,79.4
2021-10-29 08:00:00,4,79.6,79.8
2021-10-29 11:00:00,3,79.8,79.8
2021-10-29 12:00:00,2,79.2,79.4
2021-10-29 13:00:00,4,79.2,79.2
2021-10-29 14:00:00,17,79,79
2021-10-29 15:00:00,1,79,79
2021-11-01 07:00:00,5,78.8,79.4
2021-11-01 08:00:00,6,79.8,79.4
2021-11-01 10:00:00,5,79.4,79.8
2021-11-01 12:00:00,7,79.8,79
2021-11-01 13:00:00,2,79.6,79.6
2021-11-01 14:00:00,1,79.2,79.2
2021-11-02 07:00:00,9,79.4,79.6
2021-11-02 08:00:00,7,79.8,79.6
2021-11-02 09:00:00,1,79.6,79.6
2021-11-02 10:00:00,18,79.6,79.6
2021-11-02 12:00:00,3,79.6,79.4
2021-11-02 14:00:00,6,79.2,79
2021-11-02 15:00:00,14,80.2,80.2
2021-11-03 07:00:00,9,80.2,79.4
2021-11-03 08:00:00,5,79.4,79.2
2021-11-03 10:00:00,39,79.4,79
2021-11-03 14:00:00,1,79.6,79.6
2021-11-03 15:00:00,5,79,79.8
2021-11-05 06:00:00,5,79.8,79.8
2021-11-05 07:00:00,13,79.8,80
2021-11-05 08:00:00,1,79.4,79.4
2021-11-05 09:00:00,1,79.8,79.8
2021-11-05 12:00:00,14,79.4,80
2021-11-05 13:00:00,10,79.2,79
2021-11-05 14:00:00,3,79.2,79.2
2021-11-08 07:00:00,3,79,79
2021-11-08 08:00:00,38,79.6,80.2
2021-11-08 09:00:00,1,80,80
2021-11-08 10:00:00,27,80,79
2021-11-08 11:00:00,17,79.2,80
2021-11-08 12:00:00,1,79.8,79.8
2021-11-09 07:00:00,2,79.6,79.6
2021-11-09 08:00:00,12,79.6,79.6
2021-11-09 09:00:00,85,79.6,79.4
2021-11-09 10:00:00,1,79.4,79.4
2021-11-09 11:00:00,6,79,79.2
2021-11-09 12:00:00,1,79,79
2021-11-09 13:00:00,14,79,79.2
2021-11-09 14:00:00,124,79.2,79
2021-11-09 15:00:00,4,79.6,79.6
2021-11-10 07:00:00,2,79,79
2021-11-10 08:00:00,6,79,79.2
2021-11-10 09:00:00,2,79.2,78.8
2021-11-10 10:00:00,3,79.2,78.8
2021-11-10 11:00:00,1,79.2,79.2
2021-11-10 12:00:00,2,79,79
2021-11-10 14:00:00,2,79,79.2
2021-11-11 07:00:00,42,79.2,79.4
2021-11-11 09:00:00,2,79.2,79.2
2021-11-11 11:00:00,2,79,79
2021-11-11 12:00:00,3,79,79
2021-11-11 13:00:00,2,78.8,79
2021-11-11 14:00:00,6,79,79.2
2021-11-11 15:00:00,3,79,78.8
2021-11-12 07:00:00,4,79.6,79
2021-11-12 08:00:00,1,79,79
2021-11-12 09:00:00,120,79,79.2
2021-11-12 10:00:00,4,79.4,79.6
2021-11-12 11:00:00,16,79.4,80
2021-11-12 12:00:00,1,79.8,79.8
2021-11-12 13:00:00,8,79.6,80
2021-11-12 15:00:00,2,79.8,79.4
2021-11-15 07:00:00,1,79.2,79.2
2021-11-15 08:00:00,7,80,79.8
2021-11-15 09:00:00,23,80,80
2021-11-15 10:00:00,2,79.8,80
2021-11-15 11:00:00,9,79.8,79.6
2021-11-15 12:00:00,69,79.8,79.4
2021-11-15 13:00:00,1,79.6,79.6
2021-11-16 07:00:00,14,80,79.4
2021-11-16 08:00:00,2,80,80
2021-11-16 09:00:00,2,79.4,79.4
2021-11-16 10:00:00,1,79.8,79.8
2021-11-16 11:00:00,1,79.8,79.8
2021-11-16 12:00:00,3,79.6,79.4
2021-11-17 07:00:00,65,79.4,78.8
2021-11-17 08:00:00,38,78.8,78.8
2021-11-17 09:00:00,169,79.4,78.8
2021-11-17 10:00:00,2,79.4,79.4
2021-11-17 12:00:00,2,79,79
2021-11-17 13:00:00,1,79.4,79.4
2021-11-17 14:00:00,217,78.4,78.8
2021-11-18 07:00:00,2,78.8,78.8
2021-11-18 11:00:00,1,78.8,78.8
2021-11-18 12:00:00,1429,78.6,83
