name	figi	ticker	class_code
Магнит	TCS10A0JKQU8	RU000A0JKQU8	TILA21
United Airlines Holdings	US9100471096	US9100471096	SPBXM_OTC
Arrival	LU2314763264	LU2314763264	SPBXM_OTC
AECOM	TCSF766T1007	US00766T1007	A30
Reliance, Inc.	US7595091023	US7595091023	SPBXM_OTC
Far Peak Acquisition Corp	BBG00YVVW346	FPAC	FPAC
Solid Power	BBG0112HCSY4	SLDP	SLDP
Americold Realty Trust REIT	TCSF064D1081	US03064D1081	A30
Prospect Capital Corporation	TCSF348T1025	US74348T1025	A30
Anterix	TCSF676C1009	US03676C1009	A30
BioMarin Pharmaceutical Inc	TCS9061G1013	US09061G1013	US09061G1013_NDS
Comcast	TCS0030N1019	CMCSA-RM	FQBR
Dynavax Technologies Corp	BBG000BFX694	US2681582019	DVAX
CNX Resources Corporation	BBG000CKVSG8	CNX	SPBXM
Mercury Systems	BBG000BX5GS3	MRCY	MRCY
23andMe	BBG00XV5CYH5	US90138Q1085	ME
Grocery Outlet Holding Corp	US39874R1014	US39874R1014	SPBXM_OTC
DXC Technology	US23355L1061	US23355L1061	SPBXM_OTC
SLM Corp	BBG000BBCQD7	SLM	SPBXM
Axcelis Technologies	TCSF45402085	US0545402085	A30
Crane Holdings	TCSF44411052	US2244411052	A29
Axcelis Technologies	BBG000DW34S2	ACLS	SPBXM
Visteon Corp	TCSF839U2069	US92839U2069	A30
WaFd, Inc.	TCSF88241096	US9388241096	A30
Evercore	US29977A1051	US29977A1051	SPBXM_OTC
Яндекс	TCS709805522	NL0009805522	obmen
uniQure NV	TCSF10696654	NL0010696654	A29
Wereldhave REIT	BBG000BCHNJ1	WHA	WHA
Ubiquiti Inc	TCSF353W1036	US90353W1036	A29
Gold Fields	TCSF059T1060	US38059T1060	A29
Amdocs	BBG000C3MXG5	DOX	DOX
Masco	US5745991068	US5745991068	SPBXM_OTC
CASI Pharmaceuticals	TCSF933S1012	KYG1933S1012	A30
Atara Biotherapeutics Inc	TCS265132068	US0465132068	US0465132068_NDS
IDEX Corp	TCSF167R1041	US45167R1041	A30
Amphastar Pharmaceuticals	BBG000BW90S6	AMPH	SPBXM
Zimmer Biomet Holdings	TCSF956P1021	US98956P1021	A30
Bayerische Motoren Werke AG	TCSF05190003	DE0005190003	A30
Marathon Petroleum	TCSF585A1025	US56585A1025	A30
Verizon Communications	US92343V1044	US92343V1044	SPBXM_OTC
Владимирский хим завод	BBG000PTLZD3	VLHZ	TQBR
iCAD, Inc.	BBG000KM7J81	ICAD	ICAD
Markel Group	TCSF05351048	US5705351048	A29
thyssenkrupp AG	TCSF07500001	DE0007500001	A29
Archrock	BBG000RWH1V4	US03957W1062	AROC
Palatin Technologies	TCSF60775020	US6960775020	A29
Vestis	TCSF430C1027	US29430C1027	A29
РОСБАНК	BBG000PND2J2	ROSB	TQBR
Nano X Imaging Ltd.	BBG00RDSZ6J2	IL0011681371	NNOX
RPM International Inc	TCSF96851038	US7496851038	A29
Austerlitz Acquisition Corp I	BBG00Z9CGKP7	AUS	AUS
Villeroy & Boch	BBG000BFNQL7	VIB3	SPBXM
Technip Energies АДР	BBG00ZCVVQG1	THNPY	THNPY
Silvergate Capital Corp.	TCSF837P4081	US82837P4081	A29
Remitly Global	BBG012C7JST2	RELY	SPBXM
Grocery Outlet Holding Corp	TCSF874R1014	US39874R1014	A29
Agios Pharmaceuticals Inc	US00847X1046	US00847X1046	SPBXM_OTC
Monro	TCSF02361010	US6102361010	A30
Myriad Genetics Inc	TCSF855J1043	US62855J1043	A30
Terreno REIT	TCSF146M1018	US88146M1018	A29
BASF SE	BBG000BBVVK7	BAS@DE	SPBDE
Мостотрест	TCS009177331	MSTT	SMAL
Pediatrix Medical Group	TCSF502B1061	US58502B1061	A29
АДР Just Eat Takeaway.com N.V.	TCSF214T3059	US48214T3059	A29
Medtronic	BBG000BNWG87	MDT	SPBXM
Central Puerto SA	TCSF50382014	US1550382014	A30
Hyzon Motors Inc.	BBG00Y2JHBG1	US44951Y1029	HYZN
Nubank	TCSF683N1034	KYG6683N1034	A30
Affimed N.V. ORD SHS	TCS115001ZQ0	NL0015001ZQ0	NL0015001ZQ0_T04
Johnson & Johnson	US4781601046	US4781601046	SPBXM_OTC
Legacy Housing Corp	TCSF472M1018	US52472M1018	A30
X5 RetailGroup ГДР	TCS5387E2054	FIVE@GS	SAV
Arthur J. Gallagher & Co	BBG000BBHXQ3	AJG	SPBXM
51job	BBG000BJD1D4	JOBS	SPBXM
Precision BioSciences	TCS4019P2074	US74019P2074	DTIL
Guidewire Software Inc	BBG001C7PM75	GWRE	SPBXM
Purple Innovation Inc	BBG009S7FWY0	US74640Y1064	PRPL
Fidelity National Financial, Inc.	US31620R3030	US31620R3030	SPBXM_OTC
Raiffeisen Bank International AG	TCSF00606306	AT0000606306	A29
Tencent Music Entertainment	US88034P1093	US88034P1093	SPBXM_OTC
MMC Norilsk Nickel PJSC	BBG000KRLH06	MNOD LI	lse
MannKind Corporation	BBG000PPL3G9	US56400P7069	MNKD
Cogent Biosciences	BBG007DHZQR7	COGT	COGT
Trevali Mining	BBG000GMXFH5	TREVQ	TREVQ
Kandi Technologies Group Inc	BBG000PNF2V6	US4837091010	nasdaq
Hallador Energy Company	BBG000DP9RS0	US40609P1057	HNRG
SAP SE	DE0007164600	DE0007164600	SPBXM_OTC
ТНС энерго Кубань	BBG000BSCKB5	KBSB	TQBR
Yext Inc	TCSF585N1063	US98585N1063	A30
Рязанская энергетическая сбытовая компания	BBG000FJ81J0	RZSB	TQBR
Anheuser-Busch InBev	TCSF74293251	BE0974293251	A30
Aileron Therapeutics	TCS002454KR1	ALRN_old	ALRN_old
J&J Snack Foods Corp	US4660321096	US4660321096	SPBXM_OTC
GSX Techedu Inc	TCSF257Y1091	US36257Y1091	A29
W&T Offshore, Inc.	BBG000FFFQR6	WTI	WTI
Movado Group Inc	TCSF45801062	US6245801062	A29
Autodesk	US0527691069	US0527691069	SPBXM_OTC
Johnson Outdoors Inc	TCSF91671088	US4791671088	A29
Paycom Software Inc	BBG0064N0ZZ5	PAYC	SPBXM
BlackRock	TCSF247X1019	US09247X1019	A30
АДР Oatly Group AB	BBG0105XBRR9	US67421J1088	OTLY
Hersha Hospitality REIT	BBG000BBB8Y5	US4278255009	HT
Avery Dennison	TCSF36111091	US0536111091	A29
nCino	BBG014GJ8XH2	NCNO	SPBXM
Arcutis Biotherapeutics	US03969K1088	US03969K1088	SPBXM_OTC
Denali Therapeutics Inc	BBG008P7F869	DNLI	SPBXM
Monarch Casino & Resort Inc	TCSF90271072	US6090271072	A30
Community Health Systems, Inc.	BBG000BDY3Y7	CYH	CYH
ГДР Лента	BBG000QQPXZ5	LNTA	TQBR
Quoin Pharmaceuticals АДР	TCS00D9PB2L6	QNRX_old	QNRX_old
Mettler Toledo	BBG000BZCKH3	MTD	SPBXM
Magnite Inc	TCSF955D1000	US55955D1000	A29
TreeHouse Foods Inc	BBG000GQGJT4	THS	SPBXM
Inmode Ltd	TCSF11595993	IL0011595993	A30
LVMH Moet Hennessy Louis Vuitton	FR0000121014	FR0000121014	SPBXM_OTC
Dover	TCSF00031080	US2600031080	A30
Oramed Pharmaceuticals	TCSF403P2039	US68403P2039	A29
La Jolla	BBG000CJLRK9	LJPC	LJPC
Goodyear Tire & Rubber	TCSF25501014	US3825501014	A30
Ovid therapeutics Inc	BBG009F0TD76	OVID	OVID
NetApp	TCSF110D1046	US64110D1046	A30
Nucor	TCSF03461052	US6703461052	A29
Amphenol	BBG000B9YJ35	APH	SPBXM
Avnet	BBG000BCPB71	AVT	SPBXM
Domino's Pizza Inc	BBG000P458P3	DPZ	SPBXM
FTAI Aviation	TCSF730V1059	KYG3730V1059	A30
Citigroup	BBG000FY4S11	C	SPBXM
PennyMac Mortgage Investment REIT	TCSF931T1034	US70931T1034	A29
Skyworks Solutions	TCSF088M1027	US83088M1027	A29
Nordson Corp	US6556631025	US6556631025	SPBXM_OTC
CatchMark Timber REIT	BBG005CHGKM1	CTT	nyse
Berry Global Group Inc	US08579W1036	US08579W1036	SPBXM_OTC
Ryder System	BBG000BRVP70	R	SPBXM
SoftBank Group Corp	TCSF404D1090	US83404D1090	A30
International Paper	BBG000BM5SR2	IP	SPBXM
ФосАгро	RU000A0JRKT8	RU000A0JRKT8	SPBXM_OTC
Kirby Corp	BBG000BMQCP6	KEX	SPBXM
Aluminum Corp of China	BBG000CMRVH1	ACH	SPBXM
Edgewell Personal Care Co	BBG000BRW644	EPC	SPBXM
Мосэнерго	TCS108958863	RU0008958863	TILA21
Coupa Software Inc	BBG001J4BCN4	COUP	SPBXM
Wheaton Precious Metals	TCSF28791027	CA9628791027	A29
IPO Евротранс	ISSUANCEEUTS	ISSUANCEEUTS	ISSUANCEEUTS
Winnebago Industries Inc	BBG000BWS3F3	WGO	SPBXM
Amyris	BBG000DW5XK4	AMRS	AMRS
Andersons Inc	TCSF41641035	US0341641035	A29
Kimberly-Clark	TCSF43681035	US4943681035	A29
Ping An	TCSF000003X6	CNE1000003X6	A29
BioCryst Pharmaceuticals	BBG000BLYWX6	BCRX	SPBXM
Vista Oil & Gas, S.A.B. de C.V.	TCSF837L1098	US92837L1098	A29
Perrigo Co PLC	TCS0BGH1M568	IE00BGH1M568	nyse
АДР Banco do Brasil S.A.	TCSF95781040	US0595781040	A29
Guidewire Software Inc	TCSF171V1008	US40171V1008	A30
International Paper	US4601461035	US4601461035	SPBXM_OTC
Mesa Laboratories Inc	BBG000BP3PW7	MLAB	SPBXM
Rheinmetall AG	DE0007030009	DE0007030009	SPBXM_OTC
AptarGroup	TCSF83361039	US0383361039	A29
PulteGroup	TCSF58671010	US7458671010	A29
Pre-IPO Airbnb	FAKEFAKE0013	Airbnb	Airbnb
Evolus	BBG005CX4HK8	US30052C1071	EOLS
Acorda Therapeutics	TCSF484M7002	US00484M7002	A29
Vontier Corporation	BBG00RRGSJR4	VNT	SPBXM
Leidos Holdings	TCSF53271028	US5253271028	A30
Adamis Pharmaceuticals Corp	BBG000BYB544	US00547W3079	ADMP
Canada Goose	TCSF50861060	CA1350861060	A29
Ethan Allen Interiors Inc	BBG000BBVDT8	ETD	SPBXM
MaxLinear Inc	TCSF776J1007	US57776J1007	A30
Societe Generale SA	BBG000BKVX05	US83364L1098	otcus
GILEAD	TCSF55581036	US3755581036	A30
