name	figi	ticker	class_code	country_of_risk
Магнит	TCS10A0JKQU8	RU000A0JKQU8	TILA21	RU
Solidcore Resources plc	TCS9B6T5S470	JE00B6T5S470	00	RU
VEON	TCS6349W1038	BMG9349W1038	NSD	RU
Яндекс	TCS709805522	NL0009805522	obmen	RU
Владимирский хим завод	BBG000PTLZD3	VLHZ	TQBR	RU
РОСБАНК	BBG000PND2J2	ROSB	TQBR	RU
Мостотрест	TCS009177331	MSTT	SMAL	RU
X5 RetailGroup ГДР	TCS5387E2054	FIVE@GS	SAV	RU
ТНС энерго Кубань	BBG000BSCKB5	KBSB	TQBR	RU
Рязанская энергетическая сбытовая компания	BBG000FJ81J0	RZSB	TQBR	RU
ФосАгро	RU000A0JRKT8	RU000A0JRKT8	SPBXM_OTC	RU
Мосэнерго	TCS108958863	RU0008958863	TILA21	RU
IPO Евротранс	ISSUANCEEUTS	ISSUANCEEUTS	ISSUANCEEUTS	RU
Красногорский завод им. С.А. Зверева - привилегированные акции	TCS007940839	KZIZP	MTQR	RU
РуссНефть	TCS00A0JSE60	RNFT	SPEQ	RU
БМ-Банк	TCS00A1038B8	RU000A1038B8	TQBR	RU
ФосАгро	TCS10A0JRKT8	RU000A0JRKT8	TILA21	RU
Нижнекамскнефтехим (привилегированные)	TCS629065096	RU0006765096	A37	RU
Магаданэнерго - привилегированные акции	TCS927458893	RU0006758893	A36	RU
Газпром	TCS350261625	RU0007661625	A36	RU
Камчатскэнерго - привилегированные акции	BBG000J5X8M9	KCHEP	TQBR	RU
Группа Аренадата	TCS00A108ZR8	DATA	TQBR	RU
IPO МФК Займер	ISSUANCEZAIM	ISSUANCEZAIM	ISSUANCEZAIM	RU
Газпром нефть	TCS452062467	RU0009062467	A36	RU
ОАО GTL	BBG0045X2HW8	GTLC	TQPI	RU
Globaltrans Investment PLC	TCS9949E2046	GLTR	PSBB_EQ	RU
ЭЛ5-Энерго	TCS5084F5UN3	RU000A0F5UN3	A36	RU
TCS Group	TCS2238U2033	US87238U2033	US87238U2033_RZI	RU
Яковлев	BBG000FWGSZ5	IRKT	TQBR	RU
SPO ТГК-14	ISSUANCEISUU	ISSUANCEISUU	ISSUANCEISUU	RU
Globaltrans Investment PLC	TCS4949E2046	GLTR	PSBB	RU
ФосАгро	TCS20A0JRKT8	RU000A0JRKT8	RU000A0JRKT8_T00	RU
Лента	TCS00A102S15	RU000A102S15	TILA21	RU
Славнефть-Мегионнефтегаз	TCS224911126	RU0009011126	A36	RU
Совкомфлот	BBG100R04X57	FLOT	SMAL	RU
ЦФА Корзина металлов Норникеля	ISSUANCEMTNK	ISSUANCEMTNK	ISSUANCEMTNK	RU
ВСМПО-АВИСМА	BBG004S68CV8	VSMO	TQBR	RU
ТКС Холдинг	TCS10A107UL4	TCSG	SPEQ	RU
Совкомбанк	TCS30A0ZZAC4	SVCB	SPEQ	RU
Газпром	TCS207661625	RU0007661625	TILA21	RU
Объединенная авиастроительная корпорация	BBG000Q7ZZY2	UNAC	TQBR	RU
ТГК-14	TCS20A0H1ES3	TGKN	PSSU	RU
КИФА	TCS10A108ZF3	QIFA	PSSU	RU
НОВАТЭК	TCS8223DKVS5	RU000A0DKVS5	A37	RU
Тамбовская энергосбытовая компания	BBG000MD2ST1	TASB	TQBR	RU
Банк ВТБ	TCS20A0JP5V6	RU000A0JP5V6	TILA21	RU
Детский Мир	TCS7628JSQ90	RU000A0JSQ90	A36	RU
ВК	TCS00A106YF0	VKCO	TQBR	RU
Циан АДР	TCS0418T1088	CIAN@US	SPBEQRU	RU
Россети Северо-Запад	TCS00A0JPPB9	MRKZ	SMAL	RU
Таттелеком	BBG000RJL816	TTLK	TQBR	RU
Банк Санкт-Петербург	TCS109100945	BSPB	SPEQ	RU
Корпоративный Центр Икс 5	TCS00A108X38	RU000A108X38	RU000A108X38	RU
Fix Price Group	TCS4835G2057	US33835G2057	US33835G2057_RZI	RU
Банк УРАЛСИБ	TCS006929536	RU0006929536	SMAL	RU
АЛРОСА	TCS007252813	ALRS	SPEQ	RU
Группа Астра	TCS00A106T36	ASTR	PSSU	RU
ЕвроТранс	TCS20A1002V2	EUTR	PTEQ	RU
IPO Ozon	ISSUANCEOZON	ISSUANCEOZON	ISSUANCEOZON	RU
